alloy,Fe,Ni,Co,Cr,V,Cu,VEC,AR1,AR2,PE,Density,TermalC,MP,FI,SI,TI,M,TEC,TC,MS,MagS
,0.0,0.0,1.0,0.0,0.0,0.0,9.0,135.0,125.0,1.88,8900.0,100.0,1768.0,760.4,1648.39,3232.3,1.72,12.13,1395.99999998816,1.34999999999769,0.0248163
Ni-Co,0.0,0.9,0.1,0.0,0.0,0.0,9.900366667232511,135.0,124.99999999999999,1.907011000016975,8907.20293333786,91.8966999949074,1731.9853333106996,739.4574713201717,1742.60436805921,3378.7896567587295,0.7115893326995875,13.06,752.996219754459,0.684669284878396,0.00447243267156991
,0.0,0.8,0.2,0.0,0.0,0.0,9.80065211853613,135.0,125.0,1.904019563556084,8906.40521694829,92.79413093317483,1735.9739152585548,741.7768317228496,1732.1702376836206,3362.5660996858282,0.8232696272395346,12.81,860.195211976364,0.836561611993981,0.00373980367758917
,0.0,0.7,0.3,0.0,0.0,0.0,9.700856254565842,135.00000000000003,125.00000000000003,1.9010256876369755,8905.606850036529,93.69229370890744,1739.9657498173667,744.0980835187987,1721.72759847777,3346.3293126178633,0.9350409948862576,12.75,955.744737268768,0.973679843163155,0.00406014795037811
,0.0,0.6,0.4,0.0,0.0,0.0,9.600978975814538,134.99999999999997,125.0,1.8980293692744359,8904.807831806515,94.59118921766915,1743.9608409674183,746.4212290225537,1711.276440029233,3330.0792793650253,1.0469035470877168,12.56,1040.79792391776,1.09401701674474,0.00552916068669612
,0.0,0.5,0.5,0.0,0.0,0.0,9.501020182612688,135.0,125.0,1.8950306054783805,8904.0081614609,95.49081835648582,1747.9591926954924,748.7462705524289,1700.8167519085916,3313.8159837110843,1.1588573954737897,12.65,1116.51369183724,1.19555630713604,0.00754529017510834
,0.0,0.4,0.6,0.0,0.0,0.0,9.400979775128,135.0,125.0,1.8920293932538401,8903.207838201024,96.391182023848,1751.9608089948802,751.0732104305227,1690.3485236693941,3297.539409413326,1.27090265185664,12.39,1184.05677661791,1.27627098410848,0.0104841044846622
,0.0,0.35,0.65,0.0,0.0,0.0,9.350928934787417,135.0,125.0,1.8905278680436224,8902.807431478299,96.84163958691325,1753.9628426085033,752.2373929768446,1685.1112037361554,3289.396137689913,1.326959593038093,12.41,1215.12913886821,1.30818302102496,0.0123754762346386
,0.0,0.3,0.7,0.0,0.0,0.0,9.3008576533651,135.0,125.0,1.8890257296009527,8902.406861226922,97.29228111971412,1755.9656938653961,753.4020509827278,1679.8717448481239,3281.2495402025015,1.3830394282310898,12.08,1244.59775367599,1.33412437197536,0.014506962581668
,0.0,0.25,0.75,0.0,0.0,0.0,9.250765918336086,135.0,125.0,1.8875229775500826,8902.006127346689,97.74310673497523,1757.9693632665567,754.5671847395026,1674.630145694688,3273.099614913281,1.439142171463585,12.59,1280.40929297365,1.35831610672982,0.0120035639542678
